"","C_1","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","C_10","C_11","C_12","C_13","C_14","C_15","C_16","C_17","C_18","C_19","C_20","C_21","C_22","C_23","C_24","C_25","C_26","C_27","C_28","C_29","C_30","C_31","C_32","C_33","C_34","C_35","C_36","C_37","C_38","C_39","C_40","C_41","C_42","C_43","C_44","C_45","C_46","C_47","C_48","C_49","C_50","C_51","C_52","C_53","C_54","C_55","C_56","C_57","C_58","C_59","C_60","C_61","C_62","C_63","C_64","C_65","C_66","C_67","C_68","C_69","C_70","C_71","C_72","C_73","C_74","C_75","C_76","C_77","C_78","C_79","C_80","C_81","C_82","C_83","C_84","C_85","C_86","C_87","C_88","C_89","C_90","C_91","C_92","C_93","C_94","C_95","C_96","C_97","C_98","C_99","C_100","C_101","C_102","C_103","C_104","C_105","C_106","C_107","C_108","C_109","C_110","C_111","C_112","C_113","C_114","C_115","C_116","C_117","C_118","C_119","C_120","C_121","C_122","C_123","C_124","C_125","C_126","C_127","C_128","C_129","C_130","C_131","C_132","C_133","C_134","C_135","C_136","C_137","C_138","C_139","C_140","C_141","C_142","C_143","C_144","C_145","C_146","C_147","C_148","C_149","C_150","C_151","C_152","C_153","C_154","C_155","C_156","C_157","C_158","C_159","C_160","C_161","C_162","C_163","C_164","C_165","C_166","C_167","C_168","C_169","C_170","C_171","C_172","C_173","C_174","C_175","C_176","C_177","C_178","C_179","C_180","C_181","C_182","C_183","C_184","C_185","C_186","C_187","C_188","C_189","C_190","C_191","C_192","C_193","C_194","C_195","C_196","C_197","C_198","C_199","C_200","C_201","C_202","C_203","C_204","C_205","C_206","C_207","C_208","C_209","C_210","C_211","C_212","C_213","C_214","C_215","C_216","C_217","C_218","C_219","C_220","C_221","C_222","C_223","C_224","C_225","C_226","C_227","C_228","C_229","C_230","C_231","C_232","C_233","C_234","C_235","C_236","C_237","C_238","C_239","C_240","C_241","C_242","C_243","C_244","C_245","C_246","C_247","C_248","C_249","C_250","C_251","C_252","C_253","C_254","C_255","C_256","C_257","C_258","C_259","C_260","C_261","C_262","C_263","C_264","C_265","C_266","C_267","C_268","C_269","C_270","C_271","C_272","C_273","C_274","C_275","C_276","C_277","C_278","C_279","C_280","C_281","C_282","C_283","C_284","C_285","C_286","C_287","C_288","C_289","C_290","C_291","C_292","C_293","C_294","C_295","C_296","C_297","C_298","C_299","C_300","C_301","C_302","C_303","C_304","C_305","C_306","C_307","C_308","C_309","C_310","C_311","C_312","C_313","C_314","C_315","C_316","C_317","C_318","C_319","C_320","C_321","C_322","C_323","C_324","C_325","C_326","C_327","C_328","C_329","C_330","C_331","C_332","C_333","C_334","C_335","C_336","C_337","C_338","C_339","C_340","C_341","C_342","C_343","C_344","C_345","C_346","C_347","C_348","C_349","C_350","C_351","C_352","C_353","C_354","C_355","C_356","C_357","C_358","C_359","C_360","C_361","C_362","C_363","C_364","C_365","C_366","C_367","C_368","C_369","C_370","C_371","C_372","C_373","C_374","C_375","C_376","C_377","C_378","C_379","C_380","C_381","C_382","C_383","C_384","C_385","C_386","C_387","C_388","C_389","C_390","C_391","C_392","C_393","C_394","C_395","C_396","C_397","C_398","C_399","C_400","C_401","C_402","C_403","C_404","C_405","C_406","C_407","C_408"
"Slc25a34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thumpd1",0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,0,0,0,502,0,0,0,1,108,1,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,418,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,54,0,0,0,0,2189,0,0,0,2,0,0,0,0,663,2,0,0,0,0,20,662,0,0,1,0,0,112,0,0,1,0,57,0,2036,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,29,0,99,0,0,0,0,0,0,17,0,0,32,0,0,0,0,0,0,154,0,0,0,0,0,100,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,185,0,41,0,116,2,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
"Pkp3",0,478,0,0,0,1370,0,0,2064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,123,0,0,0,0,0,0,0,0,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,423,0,0,0,0,0,35,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,4,0,0,0,3,0,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1509,0,0,0,0,1868,0,0,450,0,0,0,319,0,0,5,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,5,0,87,0,0,9,0,0,0,0,0,8,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,230,0,0,0,0,23,0,0,0,0,0,0,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,304,0,1495,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
"Cxcr5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,530,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,814,0,0,0,0,6,0,0,1,0,0,4,2,0,0,46,0,0,0,107,0,0,0,0,0,0,8,0,0,0,0,0,1,0,6,0,0,229,0,0,0,0,0,11,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,6,0,0,0,0,814,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,4,0
"Sh3kbp1",54,0,0,0,174,0,0,0,0,0,0,0,0,317,0,0,0,86,0,0,0,0,0,0,0,7,8,1,0,0,0,0,0,0,0,0,1189,623,0,175,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,324,0,0,0,0,0,0,0,95,0,0,356,0,41,0,0,0,0,0,2,0,0,1,0,0,0,93,472,0,46,0,0,16,0,0,344,0,0,0,12,0,0,0,0,0,0,0,0,0,20,0,139,0,0,24,0,1093,0,0,0,0,0,0,1171,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,16,733,0,34,0,0,0,0,0,0,0,0,0,0,10,0,3941,0,72,0,0,0,0,0,0,0,0,0,0,28,5,0,0,23,0,0,0,18,0,0,0,0,0,0,0,0,32,0,0,2,0,1,428,0,43,0,0,0,1,0,435,0,0,0,0,0,0,0,201,0,1,0,0,0,0,0,0,0,0,8,0,53,7,0,0,394,0,0,0,0,2137,0,1,672,0,0,0,425,0,0,0,239,2,2,378,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,333,0,0,0,0,0,0,80,0,0,0,0,14,0,0,0,0,0,0,0,18,0,0,0,158,0,0,58,0,1,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,614,0,1,0,18,0,0,0,1,483,0,0,0,184,39,0,0,1,289,0,0,18,0,4,521,0,0,0,66,22,0,0,0,0,0,20,0,30,0,0,0,0,0,1,0,0,0,0,0,0,2,0,19,0,1,0,0,0,10,0
"Ppbp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,215,0,0,13198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Traf1",0,1843,0,0,0,2,0,0,2548,0,0,0,0,0,0,0,0,980,0,0,0,0,0,0,0,48,0,0,0,0,259,0,0,59,0,0,834,223,0,0,0,3,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,11,0,0,0,483,0,13,1,283,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2260,0,0,0,3,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,538,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,24,0,0,0,4,0,0,1,0,0,0,0,825,0,0,944,0,0,0,270,0,0,16,0,0,0,163,0,56,0,0,0,0,0,0,0,0,0,0,6,1322,100,0,2114,15,457,0,0,0,0,25,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406,0,0,0,0,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,657,4,0,0,496,0,0,0,3366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,783,0,0,966,24,0,51,3,0,0,0,0,0,0,0,0,0,0,954,70,0,0,0,0,415,0,0,0,15,0,0,0,138,0,0,0,0,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acpl2",0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,16,0,0,329,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1658,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adm",0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1130,0,0,0,1,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4171,0,0,0,0,0,0,0,0,0,430,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,665,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783,0,0,0,4,0,0,0,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1441,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,207,0,0,0,0,0,1,0,382,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,3,0,301,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,139,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"Nupr1",92,114,1,0,0,0,0,0,0,0,0,0,0,805,0,0,0,0,1,0,0,0,0,0,0,177,0,0,0,0,0,0,0,164,0,0,0,11,252,0,0,7,0,0,0,0,0,0,0,0,0,2,0,86,19,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1050,0,0,0,475,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,203,1,0,0,832,0,0,0,0,5,0,10,47,0,0,0,432,1,0,109,0,0,0,0,0,957,0,0,0,2,0,0,0,0,0,163,0,0,0,0,80,44,92,0,0,0,0,511,0,382,0,14,181,0,0,4530,80,0,0,432,0,0,0,0,0,0,143,0,0,0,0,0,0,624,0,0,0,1,0,0,0,0,435,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,670,0,0,1410,0,50,0,0,0,4,0,744,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,181,510,0,0,0,0,14,0,0,73,0,1,0,0,0,0,1,2,0,0,0,165,183,1,104,0,0,0,0,15,0,1,1640,1,1,0,0,0,0,0,0,21,0,292,0,3,30,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,929,0,0,0,173,0,0,1069,50,0,159,1,0,0,0,0,0,0,0,0,0,0,0,8,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,122,0,0,92,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,52,0,0,0,0,0,0,81,2194,0,0,0,0,0,180,4,0,0,97,0,3,0,114,0,0,1,0,0,124,0,2,0,0,0,39,0,0,249,0,0,0,0,0,56,0
"Fam174b",0,1,0,0,415,0,0,8,0,0,0,290,0,0,0,0,1,0,0,0,0,0,0,0,0,891,0,0,0,1,0,2,0,0,0,103,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,105,209,0,0,0,0,0,0,0,0,1,0,0,0,245,0,0,15,0,0,1,0,0,0,0,0,1,0,68,514,0,888,0,73,0,0,0,0,0,0,0,0,0,1,0,0,0,199,1,0,0,0,0,0,46,0,0,0,0,0,0,1169,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,1370,0,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,2,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,3609,0,0,195,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,319,0,0,0,0,0,0,39,0,39,0,0,1,0,0,0,0,0,0,0,0,24,0,50,0,0,12,0,0,0,0,0,0,0,0,0,0
"Fbxw17",0,676,0,0,0,0,0,0,0,0,0,0,0,815,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,21,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,741,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Atp1b1",227,0,0,0,1,0,0,283,3,0,425,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,195,0,0,150,1,0,0,0,348,0,0,0,0,408,0,0,10,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,329,463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,97,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,24,87,0,0,0,0,0,2,0,0,0,757,0,0,0,0,0,0,0,0,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,3050,45,1,1,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86,0,0,0,670,0,0,0,0,0,0
"Med22",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,0,0,162,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,515,1042,0,0,0,1508,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,1269,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,808,0,0,0,8,0,0,0,0,3,0,89,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,54,0,0,0,0,1693,0,0,0,0,0,0,0,6,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
